================================================================================
EXTRACTION COMPLÈTE DU FICHIER: belge.vnd
================================================================================

INFORMATIONS DU FICHIER:
--------------------------------------------------------------------------------
Nom:              belge.vnd
@0000049E: JUSTEPRIX10
@000004B1: JUSTEPRIX15
@000004C4: JUSTEPRIX20
@000004D7: JUSTEPRIX25
@000004EA: JUSTEPRIX30
@000004FD: JUSTEPRIX50
@00000510: JUSTEPRIX100
@00000524: JUSTEPRIXSCORE
@0000053A: PAIN
@00000546: HELICE
@00000554: CARTETOUR
@00000565: PARFUM
@00000573: PEPE
@0000057F: CASTAGNETTE
@00000592: DANSE
@0000059F: TICKET
@000005AD: TICKET_A
@000005BD: CPHOTO
@000005CB: FIOLEGRECE2
@000005DE: FIOLEVASE
@000005EF: ROUEDENT
@000005FF: VIOLON
@0000060D: MARMOTTE
@0000061D: MUSIC
@0000062A: FIOLEAUTR
@0000063B: PARTITION
@0000064C: ORGE
@00000658: TONDEUSE
@00000668: PALETTE
@00000677: PEINTRE
@00000686: SCOREPEINTRE
@0000069A: HOTTE
@000006A7: NUMPAYS
@000006B6: NUMPAYS2
@000006C6: NUMPAYSSCORE
@000006DA: BONUS6
@000006E8: BONUS9
@000006F6: SIROP
@00000703: LEVURE
@00000711: FROG
@0000071D: TRANS
@0000072A: ALLEMAGNE
@0000073B: FIOLE
@00000748: FRANCE
@00000756: ANGLETERRE
@00000768: AUTRICHE
@00000778: BELGIQUE
@00000788: EUROLAND
@00000798: DANEMARK
@000007A8: ECOSSE
@000007B6: ESPAGNE
@000007C5: FINLANDE
@000007D5: GRECE
@000007E2: PAYSBAS
@000007F1: IRLANDE
@00000800: ITALIE
@0000080E: PORTUGAL
@0000081E: SUEDE
@0000082B: FIOLEECOSSE
@0000083E: FIOLEIRLANDE
@00000852: FIOLEESPAGNE
@00000866: FIOLESUEDE
@00000878: FIOLEFINLANDE
@0000088D: FIOLEAUTRICHE
@000008A2: FIOLEPAYSBAS
@000008B6: FIOLEESPAGNE2
@000008CB: FIOLEITALIE
@000008DE: FIOLEANGLETERRE
@000008F5: OCCUPE1
@00000904: OCCUPE2
@00000913: OCCUPE3
@00000922: OCCUPE4
@00000931: OCCUPE5
@00000940: OCCUPE6
@0000094F: OCCUPE7
@0000095E: OCCUPE8
@0000096D: OCCUPE9
@0000097C: OCCUPE10
@0000098C: OCCUPE11
@0000099C: OCCUPE12
@000009AC: OCCUPE
@000009BA: FIOLEOK
@000009C9: CLEJAUNE
@000009D9: AP_PHOTO
@000009E9: POIVROUGE
@000009FA: AIL
@00000A05: BONNET
@00000A13: SKATE
@00000A20: FARINE
@00000A2E: API
@00000A39: DORADE
@00000A47: TEMPSLAPIN
@00000A59: CHIANTI
@00000A68: BOUTEILLE
@00000A79: SAC
@00000A84: CHEWING
@00000A93: CLEROUGE
@00000AA3: PAPIERCADO
@00000AB5: SABOT1
@00000AC3: TONO
@00000ACF: OEUF
@00000ADB: COLOMB
@00000AE9: PASTEUR
@00000AF8: PORTESECRETE
@00000B0C: BOITE
@00000B19: CLEVERTE
@00000B29: PONPON
@00000B37: PONPONOR
@00000B47: FINIPONPON
@00000B59: CORNEMUSE
@00000B6A: NESSIE
@00000B78: BONUS1
@00000B86: ALLUMETTE
@00000B97: BONUS2
@00000BA5: BURETTE
@00000BB4: BONUS3
@00000BC2: BONUS4
@00000BD0: CHAMPAGNE
@00000BE1: BONUS5
@00000BEF: BONUS8
@00000BFD: BONUS7
@00000C0B: TULIPEJAUNE
@00000C1E: ROUGE
@00000C2B: CHAMPAGNE2
@00000C3D: PATE
@00000C49: SALIERE
@00000C58: BOUT_EAU
@00000C68: JUSTEPRIX
@00000C79: POIVJAUNE
@00000C8A: OIGNON
@00000C98: MOULE
@00000CA5: FROMAGE
@00000CB4: PEINTRE1
@00000CC4: SECHE
@00000CD1: BLEU
@00000CDD: HUILE
@00000CEA: LAINE
@00000CF7: PUCE
@00000D03: GLO
@00000D0E: NON
@00000D19: BONUS26
@00000D28: BONUS25
@00000D37: BONUS24
@00000D46: BONUS23
@00000D55: OUTIL
@00000D62: OUTIL2
@00000D70: OUTIL3
@00000D7E: MACHINE
@00000D8D: CIRE
@00000D99: BOUBOU
@00000DA7: SOUSMARINOK
@00000DBA: LAPINSORTIE
@00000DCD: TOURNEVIS
@00000DDE: NAINOK
@00000DEC: PINCE
@00000DF9: PIERREOR
@00000E09: NBINGR
@00000E17: INGROK
@00000E25: OLIVE
@00000E32: BOUILLON
@00000E42: EAUBIERE
@00000E52: HOUBLON
@00000E61: BIEREOK
@00000E70: CHOUETTE
@00000E80: CHOUETTEOR
@00000E92: PISE
@00000E9E: BIERESO
@00000EAD: BETAIL
@00000EBB: VASE
@00000EC7: BOTTE
@00000ED4: HARPEOK
@00000EE3: PUBOK
@00000EF0: ERREUR7OK
@00000F01: ERREUR7D1
@00000F12: ERREUR7D2
@00000F23: ERREUR7D3
@00000F34: ERREUR7D4
@00000F45: ERREUR7D5
@00000F56: ERREUR7D6
@00000F67: ERREUR7D7
@00000F78: BONUS14
@00000F87: BONUS30
@00000F96: MESP
@00000FA2: MGRE
@00000FAE: MGRA
@00000FBA: MITA
@00000FC6: MALL
@00000FD2: MFRA
@00000FDE: MARMOT
@00000FEC: BONUS15
@00000FFB: BONUS16
@0000100A: BONUS18
@00001019: BONUS19
@00001028: BONUS20
@00001037: JUSTEPRIXQUESTION
@00001050: JUSTEPRIXREPONSE
@00001068: JUSTEPRIXOK
@0000107B: PUNK
@00001087: SOUSMARINOK2
@0000109B: ERREUR7OK2
@000010AD: CASTA
@000010BA: EAUPAIN
@000010C9: PAINOK
@000010D7: VINCI
@00001102: BONUS29
@00001111: BONUS22
@00001120: BOUCHE
@0000112E: LAPIN
@0000113B: LOC
@00001166: a_beg.wav
@0000117F: rue.bmp
@000011E3: 18 0 #000000 Comic sans MS
@00001209: 260 330 125 365 0 Une confiserie
@00001235: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54g
@000012A0: motard1.avi 1 429 206 514 256
@000012D7: 18 0 #000000 Comic sans MS
@000012FD: 260 330 125 365 0 Une moto bleue.i
@00001377: 18 0 #000000 Comic sans MS
@0000139D: 260 330 125 365 0 L'
@000013B2: cole municipalef
@000013ED: 18 0 #000000 Comic sans MS
@00001413: 260 330 125 365 0 Un motard!!?
@00001449: non 0
@0000145A: clerouge = 2 then inc_var non 1
@00001485: ballon1 = 2 then inc_var non 1
@000014AF: bouee = 2 then inc_var non 1
@000014D7: bout_plo = 2 then inc_var non 1
@00001502: bus = 2 then inc_var non 1
@00001528: castagnette = 2 then inc_var non 1
@00001556: ciseau = 2 then inc_var non 1
@0000157F: clejaune = 2 then inc_var non 1
@000015AA: guitare = 2 then inc_var non 1
@000015D4: harpon = 2 then inc_var non 1
@000015FD: helice = 2 then inc_var non 1
@00001626: loupe = 2 then inc_var non 1
@0000164E: masque = 2 then inc_var non 1
@00001677: masse = 2 then inc_var non 1
@0000169F: pain = 2 then inc_var non 1
@000016C6: palme = 2 then inc_var non 1
@000016EE: photo = 2 then inc_var non 1
@00001716: piece = 2 then inc_var non 1
@0000173E: pier_berlin = 2 then inc_var non 1
@0000176C: raquette = 2 then inc_var non 1
@00001797: ressort  = 2 then inc_var non 1
@000017C2: cheval  = 2 then inc_var non 1
@000017EC: riz = 2 then inc_var non 1
@00001812: ruban = 2 then inc_var non 1
@0000183A: sabot1 = 2 then inc_var non 1
@00001863: sabot2 = 2 then inc_var non 1
@0000188C: scotch = 2 then inc_var non 1
@000018B5: taillepierre = 2 then inc_var non 1
@000018E4: ap_photo = 2 then inc_var non 1
@0000190F: houblon = 2 then inc_var non 1
@00001939: chewing = 2 then inc_var non 1
@00001963: cleverte = 2 then inc_var non 1
@0000198E: partition = 2 then inc_var non 1
@000019BA: laine = 2 then inc_var non 1
@000019E2: tondeuse = 2 then inc_var non 1
@00001A0D: tournevis = 2 then inc_var non 1
@00001A39: cire = 2 then inc_var non 1
@00001A60: chianti = 2 then inc_var non 1
@00001A8A: rouedent = 2 then inc_var non 1
@00001AB5: pierreor = 2 then inc_var non 1
@00001AE0: papiercado = 2 then inc_var non 1
@00001B0D: hotte = 2 then inc_var non 1
@00001B35: levure = 2 then inc_var non 1
@00001B5E: bouteille = 2 then inc_var non 1
@00001B8A: parfum = 2 then inc_var non 1
@00001BB3: rouge = 2 then inc_var non 1
@00001BDB: bisous = 2 then inc_var non 1
@00001C04: api  = 2 then inc_var non 1
@00001C2B: pince = 2 then inc_var non 1
@00001C53: tulipejaune = 2 then inc_var non 1
@00001C81: tulipeorange = 2 then inc_var non 1
@00001CB0: tuliperouge = 2 then inc_var non 1
@00001CDE: tulipeverte  = 2 then inc_var non 1
@00001D0D: tulipeviolet = 2 then inc_var non 1
@00001D3C: farine = 2 then inc_var non 1
@00001D65: saliere = 2 then inc_var non 1
@00001D8F: bougie = 2 then inc_var non 1
@00001DB8: seche = 2 then inc_var non 1
@00001DE0: bout_eau = 2 then inc_var non 1
@00001E0B: dorade = 2 then inc_var non 1
@00001E34: moule = 2 then inc_var non 1
@00001E5C: ail = 2 then inc_var non 1
@00001E82: poivrouge = 2 then inc_var non 1
@00001EAE: poivjaune = 2 then inc_var non 1
@00001EDA: oignon  = 2 then inc_var non 1
@00001F04: olive = 2 then inc_var non 1
@00001F2C: bouillon = 2 then inc_var non 1
@00001F57: violon = 2 then inc_var non 1
@00001F80: skate = 2 then inc_var non 1
@00001FA8: champagne = 2 then inc_var non 1
@00001FD4: fromage = 2 then inc_var non 1
@00001FFE: bonnet = 2 then inc_var non 1
@00002027: huile = 2 then inc_var non 1
@0000204F: orge = 2 then inc_var non 1
@00002076: burette = 2 then inc_var non 1
@000020A0: allumette = 2 then inc_var non 1
@000020CC: chouetteor = 2 then inc_var non 1
@000020F9: chouette = 2 then inc_var non 1
@00002124: sirop = 2 then inc_var non 1
@0000214C: fiolegrece = 2 then inc_var non 1
@00002179: fiolegrece2 = 2 then inc_var non 1
@000021A7: fioleecosse = 2 then inc_var non 1
@000021D5: fioleirlande = 2 then inc_var non 1
@00002204: fioleespagne = 2 then inc_var non 1
@00002233: fiolesuede = 2 then inc_var non 1
@00002260: fiolefinlande = 2 then inc_var non 1
@00002290: fioleautriche = 2 then inc_var non 1
@000022C0: fiolepaysbas = 2 then inc_var non 1
@000022EF: fioleespagne2 = 2 then inc_var non 1
@0000231F: fioleitalie = 2 then inc_var non 1
@0000234D: fioleangleterre = 2 then inc_var non 1
@0000237F: non = 0 then playavi motard1.avi 1 429 206 514 256
@000023BD: non = 1 then playavi motard99.avi 1 429 206 514 256
@000023FC: non = 0 then scene 15l
@00002471: a_beg.wav
@0000248A: choco1.bmp
@000024F1: 18 0 #ffffff Comic sans MS
@00002517: 280 370 125 365 0 SORTIE
@0000253B: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54h
@000025A8: 18 0 #ffffff Comic sans MS
@000025CE: 460 90 125 365 0 Des informations
@000025FB: 460 110 125 365 0 sur le chocolatj
@00002648: 18 0 #ffffff Comic sans MS
@0000266E: bonus8 = 0 then playtext 30 70 125 365 0 Question bonus
@000026B1: bonus8 = 2 then playtext 30 70 125 365 0 tu as d
@000026E7: pondu
@000026F8: bonus8 = 0 then playwav ..\..\couleurs1\digit\bruit\boing.wav 1
@00002743: bonus8 = 0 then set_var bonus8 1
@0000276F: bonus8 =  1 then scene 27k
@000027D4: 18 0 #ffffff Comic sans MS
@000027FA: 90 90 125 365 0 Un vendeur de
@00002823: 90 110 125 365 0 bonbons et de chocolats
@00002863: non 0
@00002874: clerouge = 2 then inc_var non 1
@0000289F: ballon1 = 2 then inc_var non 1
@000028C9: bouee = 2 then inc_var non 1
@000028F1: bout_plo = 2 then inc_var non 1
@0000291C: bus = 2 then inc_var non 1
@00002942: castagnette = 2 then inc_var non 1
@00002970: ciseau = 2 then inc_var non 1
@00002999: clejaune = 2 then inc_var non 1
@000029C4: guitare = 2 then inc_var non 1
@000029EE: harpon = 2 then inc_var non 1
@00002A17: helice = 2 then inc_var non 1
@00002A40: loupe = 2 then inc_var non 1
@00002A68: masque = 2 then inc_var non 1
@00002A91: masse = 2 then inc_var non 1
@00002AB9: pain = 2 then inc_var non 1
@00002AE0: palme = 2 then inc_var non 1
@00002B08: photo = 2 then inc_var non 1
@00002B30: piece = 2 then inc_var non 1
@00002B58: pier_berlin = 2 then inc_var non 1
@00002B86: raquette = 2 then inc_var non 1
@00002BB1: ressort  = 2 then inc_var non 1
@00002BDC: cheval  = 2 then inc_var non 1
@00002C06: riz = 2 then inc_var non 1
@00002C2C: ruban = 2 then inc_var non 1
@00002C54: sabot1 = 2 then inc_var non 1
@00002C7D: sabot2 = 2 then inc_var non 1
@00002CA6: scotch = 2 then inc_var non 1
@00002CCF: taillepierre = 2 then inc_var non 1
@00002CFE: ap_photo = 2 then inc_var non 1
@00002D29: houblon = 2 then inc_var non 1
@00002D53: chewing = 2 then inc_var non 1
@00002D7D: cleverte = 2 then inc_var non 1
@00002DA8: partition = 2 then inc_var non 1
@00002DD4: laine = 2 then inc_var non 1
@00002DFC: tondeuse = 2 then inc_var non 1
@00002E27: tournevis = 2 then inc_var non 1
@00002E53: cire = 2 then inc_var non 1
@00002E7A: chianti = 2 then inc_var non 1
@00002EA4: rouedent = 2 then inc_var non 1
@00002ECF: pierreor = 2 then inc_var non 1
@00002EFA: papiercado = 2 then inc_var non 1
@00002F27: hotte = 2 then inc_var non 1
@00002F4F: levure = 2 then inc_var non 1
@00002F78: bouteille = 2 then inc_var non 1
@00002FA4: parfum = 2 then inc_var non 1
@00002FCD: rouge = 2 then inc_var non 1
@00002FF5: bisous = 2 then inc_var non 1
@0000301E: api  = 2 then inc_var non 1
@00003045: pince = 2 then inc_var non 1
@0000306D: tulipejaune = 2 then inc_var non 1
@0000309B: tulipeorange = 2 then inc_var non 1
@000030CA: tuliperouge = 2 then inc_var non 1
@000030F8: tulipeverte  = 2 then inc_var non 1
@00003127: tulipeviolet = 2 then inc_var non 1
@00003156: farine = 2 then inc_var non 1
@0000317F: saliere = 2 then inc_var non 1
@000031A9: bougie = 2 then inc_var non 1
@000031D2: seche = 2 then inc_var non 1
@000031FA: bout_eau = 2 then inc_var non 1
@00003225: dorade = 2 then inc_var non 1
@0000324E: moule = 2 then inc_var non 1
@00003276: ail = 2 then inc_var non 1
@0000329C: poivrouge = 2 then inc_var non 1
@000032C8: poivjaune = 2 then inc_var non 1
@000032F4: oignon  = 2 then inc_var non 1
@0000331E: olive = 2 then inc_var non 1
@00003346: bouillon = 2 then inc_var non 1
@00003371: violon = 2 then inc_var non 1
@0000339A: skate = 2 then inc_var non 1
@000033C2: champagne = 2 then inc_var non 1
@000033EE: fromage = 2 then inc_var non 1
@00003418: bonnet = 2 then inc_var non 1
@00003441: huile = 2 then inc_var non 1
@00003469: orge = 2 then inc_var non 1
@00003490: burette = 2 then inc_var non 1
@000034BA: allumette = 2 then inc_var non 1
@000034E6: chouetteor = 2 then inc_var non 1
@00003513: chouette = 2 then inc_var non 1
@0000353E: sirop = 2 then inc_var non 1
@00003566: fiolegrece = 2 then inc_var non 1
@00003593: fiolegrece2 = 2 then inc_var non 1
@000035C1: fioleecosse = 2 then inc_var non 1
@000035EF: fioleirlande = 2 then inc_var non 1
@0000361E: fioleespagne = 2 then inc_var non 1
@0000364D: fiolesuede = 2 then inc_var non 1
@0000367A: fiolefinlande = 2 then inc_var non 1
@000036AA: fioleautriche = 2 then inc_var non 1
@000036DA: fiolepaysbas = 2 then inc_var non 1
@00003709: fioleespagne2 = 2 then inc_var non 1
@00003739: fioleitalie = 2 then inc_var non 1
@00003767: fioleangleterre = 2 then inc_var non 1
@00003799: non = 0 then playavi confise.avi 1 283 120 376 182
@000037D7: non = 1 then playavi confise99.avi 1 283 120 376 182l
@00003897: 18 0 #ffffff Comic sans MS
@000038BD: 400 100 125 365 0 Attention manger trop
@000038F0: 400 120 125 365 0 de bonbons facilite les cariesd
@0000394C: chewing = 0 then playbmp rol\chewing.bmp 0 299 107
@0000398A: chewing != 0 then addbmp bonbon rol\bonbon.bmp 0 173 0
@000039CC: chewing = 0 then dec_var score 7
@000039F8: chewing = 0 then set_var chewing 1
@00003A26: chewing = 1 then addbmp bonbon rol\bonbon.bmp 0 173 0
@00003A67: score 6 15 415 160 470 0 <score>d
@00003AC7: a_beg.wav
@00003AE0: couloir.bmp
@00003B48: 18 0 #000000 Comic sans MS
@00003B6E: 220 350 125 365 0 Classe de g
@00003B8C: ographie
@00003BA0: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54g
@00003C0C: 18 0 #000000 Comic sans MS
@00003C32: 220 350 125 365 0 Classe d'histoireg
@00003C8E: 18 0 #000000 Comic sans MS
@00003CB4: 220 350 125 365 0 Classe de sporte
@00003D0E: 18 0 #000000 Comic sans MS
@00003D34: 220 350 125 365 0 Classe de math
@00003D55: matiquese
@00003D96: 24 0 #000000 Comic sans MS
@00003DBC: 280 350 125 365 0 SORTIEh
@00003E14: a_beg.wav
@00003E2D: geo.bmp
@00003E91: rol\sortieg.bmp 0 224 348
@00003EB6: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54h
@00003F21: non 0
@00003F32: clerouge = 2 then inc_var non 1
@00003F5D: ballon1 = 2 then inc_var non 1
@00003F87: bouee = 2 then inc_var non 1
@00003FAF: bout_plo = 2 then inc_var non 1
@00003FDA: bus = 2 then inc_var non 1
@00004000: castagnette = 2 then inc_var non 1
@0000402E: ciseau = 2 then inc_var non 1
@00004057: clejaune = 2 then inc_var non 1
@00004082: guitare = 2 then inc_var non 1
@000040AC: harpon = 2 then inc_var non 1
@000040D5: helice = 2 then inc_var non 1
@000040FE: loupe = 2 then inc_var non 1
@00004126: masque = 2 then inc_var non 1
@0000414F: masse = 2 then inc_var non 1
@00004177: pain = 2 then inc_var non 1
@0000419E: palme = 2 then inc_var non 1
@000041C6: photo = 2 then inc_var non 1
@000041EE: piece = 2 then inc_var non 1
@00004216: pier_berlin = 2 then inc_var non 1
@00004244: raquette = 2 then inc_var non 1
@0000426F: ressort  = 2 then inc_var non 1
@0000429A: cheval  = 2 then inc_var non 1
@000042C4: riz = 2 then inc_var non 1
@000042EA: ruban = 2 then inc_var non 1
@00004312: sabot1 = 2 then inc_var non 1
@0000433B: sabot2 = 2 then inc_var non 1
@00004364: scotch = 2 then inc_var non 1
@0000438D: taillepierre = 2 then inc_var non 1
@000043BC: ap_photo = 2 then inc_var non 1
@000043E7: houblon = 2 then inc_var non 1
@00004411: chewing = 2 then inc_var non 1
@0000443B: cleverte = 2 then inc_var non 1
@00004466: partition = 2 then inc_var non 1
@00004492: laine = 2 then inc_var non 1
@000044BA: tondeuse = 2 then inc_var non 1
@000044E5: tournevis = 2 then inc_var non 1
@00004511: cire = 2 then inc_var non 1
@00004538: chianti = 2 then inc_var non 1
@00004562: rouedent = 2 then inc_var non 1
@0000458D: pierreor = 2 then inc_var non 1
@000045B8: papiercado = 2 then inc_var non 1
@000045E5: hotte = 2 then inc_var non 1
@0000460D: levure = 2 then inc_var non 1
@00004636: bouteille = 2 then inc_var non 1
@00004662: parfum = 2 then inc_var non 1
@0000468B: rouge = 2 then inc_var non 1
@000046B3: bisous = 2 then inc_var non 1
@000046DC: api  = 2 then inc_var non 1
@00004703: pince = 2 then inc_var non 1
@0000472B: tulipejaune = 2 then inc_var non 1
@00004759: tulipeorange = 2 then inc_var non 1
@00004788: tuliperouge = 2 then inc_var non 1
@000047B6: tulipeverte  = 2 then inc_var non 1
@000047E5: tulipeviolet = 2 then inc_var non 1
@00004814: farine = 2 then inc_var non 1
@0000483D: saliere = 2 then inc_var non 1
@00004867: bougie = 2 then inc_var non 1
@00004890: seche = 2 then inc_var non 1
@000048B8: bout_eau = 2 then inc_var non 1
@000048E3: dorade = 2 then inc_var non 1
@0000490C: moule = 2 then inc_var non 1
@00004934: ail = 2 then inc_var non 1
@0000495A: poivrouge = 2 then inc_var non 1
@00004986: poivjaune = 2 then inc_var non 1
@000049B2: oignon  = 2 then inc_var non 1
@000049DC: olive = 2 then inc_var non 1
@00004A04: bouillon = 2 then inc_var non 1
@00004A2F: violon = 2 then inc_var non 1
@00004A58: skate = 2 then inc_var non 1
@00004A80: champagne = 2 then inc_var non 1
@00004AAC: fromage = 2 then inc_var non 1
@00004AD6: bonnet = 2 then inc_var non 1
@00004AFF: huile = 2 then inc_var non 1
@00004B27: orge = 2 then inc_var non 1
@00004B4E: burette = 2 then inc_var non 1
@00004B78: allumette = 2 then inc_var non 1
@00004BA4: chouetteor = 2 then inc_var non 1
@00004BD1: chouette = 2 then inc_var non 1
@00004BFC: sirop = 2 then inc_var non 1
@00004C24: fiolegrece = 2 then inc_var non 1
@00004C51: fiolegrece2 = 2 then inc_var non 1
@00004C7F: fioleecosse = 2 then inc_var non 1
@00004CAD: fioleirlande = 2 then inc_var non 1
@00004CDC: fioleespagne = 2 then inc_var non 1
@00004D0B: fiolesuede = 2 then inc_var non 1
@00004D38: fiolefinlande = 2 then inc_var non 1
@00004D68: fioleautriche = 2 then inc_var non 1
@00004D98: fiolepaysbas = 2 then inc_var non 1
@00004DC7: fioleespagne2 = 2 then inc_var non 1
@00004DF7: fioleitalie = 2 then inc_var non 1
@00004E25: fioleangleterre = 2 then inc_var non 1
@00004E57: numpaysscore = 0 then inc_var non 2
@00004E86: non = 2 then playavi geo1.avi 1 201 20 269 114
@00004EC0: non = 3 then playavi geo99.avi 1 201 20 269 114
@00004EFB: non = 1 then playavi geo99.avi 1 201 20 269 114
@00004F36: numpaysscore = 8 then set_var non 4
@00004F65: non = 2 then scene 20
@00004F86: a_beg.wav 6
@00004F9D: 18 0 #000000 Comic sans MS
@00004FC3: 260 250 125 365 0 Ta prof de g
@00004FE2: ographiel
@00005086: 18 0 #ffffff Comic sans MS
@000050AC: bonus9 = 0 then playtext 30 270 125 365 0 Question bonus
@000050F0: bonus9 = 2 then playtext 30 270 125 365 0 tu as d
@00005127: pondu
@00005138: bonus9 = 0 then playwav ..\..\couleurs1\digit\bruit\boing.wav 1
@00005183: bonus9 = 0 then set_var bonus9 1
@000051AF: bonus9 = 1 then scene 27k
@00005217: prof.bmp
@0000527C: rol\sortieh.bmp 0 200 336
@000052A1: score < 0 then runprj ..\couleurs1\couleurs1.vnp 54h
@00005300: 18 0 #000000 Comic sans MS
@00005326: 220 370 125 365 0 Ton prof d'histoire.
@00005358: non 0
@00005369: clerouge = 2 then inc_var non 1
@00005394: ballon1 = 2 then inc_var non 1
@000053BE: bouee = 2 then inc_var non 1
@000053E6: bout_plo = 2 then inc_var non 1
@00005411: bus = 2 then inc_var non 1
@00005437: castagnette = 2 then inc_var non 1
@00005465: ciseau = 2 then inc_var non 1
@0000548E: clejaune = 2 then inc_var non 1
@000054B9: guitare = 2 then inc_var non 1
@000054E3: harpon = 2 then inc_var non 1
@0000550C: helice = 2 then inc_var non 1
@00005535: loupe = 2 then inc_var non 1
@0000555D: masque = 2 then inc_var non 1
@00005586: masse = 2 then inc_var non 1
@000055AE: pain = 2 then inc_var non 1
@000055D5: palme = 2 then inc_var non 1
@000055FD: photo = 2 then inc_var non 1
@00005625: piece = 2 then inc_var non 1
@0000564D: pier_berlin = 2 then inc_var non 1
@0000567B: raquette = 2 then inc_var non 1
@000056A6: ressort  = 2 then inc_var non 1
@000056D1: cheval  = 2 then inc_var non 1
@000056FB: riz = 2 then inc_var non 1
@00005721: ruban = 2 then inc_var non 1
@00005749: sabot1 = 2 then inc_var non 1
@00005772: sabot2 = 2 then inc_var non 1
@0000579B: scotch = 2 then inc_var non 1
@000057C4: taillepierre = 2 then inc_var non 1
@000057F3: ap_photo = 2 then inc_var non 1
@0000581E: houblon = 2 then inc_var non 1
@00005848: chewing = 2 then inc_var non 1
@00005872: cleverte = 2 then inc_var non 1
@0000589D: partition = 2 then inc_var non 1
@000058C9: laine = 2 then inc_var non 1
@000058F1: tondeuse = 2 then inc_var non 1
@0000591C: tournevis = 2 then inc_var non 1
@00005948: cire = 2 then inc_var non 1
@0000596F: chianti = 2 then inc_var non 1
@00005999: rouedent = 2 then inc_var non 1
@000059C4: pierreor = 2 then inc_var non 1
@000059EF: papiercado = 2 then inc_var non 1
@00005A1C: hotte = 2 then inc_var non 1
@00005A44: levure = 2 then inc_var non 1
@00005A6D: bouteille = 2 then inc_var non 1
@00005A99: parfum = 2 then inc_var non 1
@00005AC2: rouge = 2 then inc_var non 1
@00005AEA: bisous = 2 then inc_var non 1
@00005B13: api  = 2 then inc_var non 1
@00005B3A: pince = 2 then inc_var non 1
@00005B62: tulipejaune = 2 then inc_var non 1
@00005B90: tulipeorange = 2 then inc_var non 1
@00005BBF: tuliperouge = 2 then inc_var non 1
@00005BED: tulipeverte  = 2 then inc_var non 1
@00005C1C: tulipeviolet = 2 then inc_var non 1
@00005C4B: farine = 2 then inc_var non 1
@00005C74: saliere = 2 then inc_var non 1
@00005C9E: bougie = 2 then inc_var non 1
@00005CC7: seche = 2 then inc_var non 1
@00005CEF: bout_eau = 2 then inc_var non 1
@00005D1A: dorade = 2 then inc_var non 1
@00005D43: moule = 2 then inc_var non 1
@00005D6B: ail = 2 then inc_var non 1
@00005D91: poivrouge = 2 then inc_var non 1
@00005DBD: poivjaune = 2 then inc_var non 1
@00005DE9: oignon  = 2 then inc_var non 1
@00005E13: olive = 2 then inc_var non 1
@00005E3B: bouillon = 2 then inc_var non 1
@00005E66: violon = 2 then inc_var non 1
@00005E8F: skate = 2 then inc_var non 1
@00005EB7: champagne = 2 then inc_var non 1
